time,mouse_dx,mouse_dy,mouse_scroll
2021-02-01T17:29:07.130,0,0,0
2021-02-01T17:29:07.135,0,0,0
2021-02-01T17:29:07.137,0,0,0
2021-02-01T17:29:07.141,0,0,0
2021-02-01T17:29:07.146,0,0,0
2021-02-01T17:29:07.154,0,0,0
2021-02-01T17:29:07.158,0,0,0
2021-02-01T17:29:07.161,0,0,0
2021-02-01T17:29:07.174,0,0,0
2021-02-01T17:29:07.179,0,0,0
2021-02-01T17:29:07.180,0,0,0
2021-02-01T17:29:07.184,0,0,0
2021-02-01T17:29:07.189,0,0,0
2021-02-01T17:29:07.194,0,0,0
2021-02-01T17:29:07.197,0,0,0
2021-02-01T17:29:07.201,0,0,0
2021-02-01T17:29:07.205,0,0,0
2021-02-01T17:29:07.211,0,0,0
2021-02-01T17:29:07.215,0,0,0
2021-02-01T17:29:07.221,0,0,0
2021-02-01T17:29:07.224,0,0,0
2021-02-01T17:29:07.227,0,0,0
2021-02-01T17:29:07.235,0,0,0
2021-02-01T17:29:07.240,0,0,0
2021-02-01T17:29:07.240,0,0,0
2021-02-01T17:29:07.244,0,0,0
2021-02-01T17:29:07.249,0,0,0
2021-02-01T17:29:07.254,0,0,0
2021-02-01T17:29:07.259,0,0,0
2021-02-01T17:29:07.262,0,0,0
2021-02-01T17:29:07.265,0,0,0
2021-02-01T17:29:07.269,0,0,0
2021-02-01T17:29:07.275,0,0,0
2021-02-01T17:29:07.277,0,0,0
2021-02-01T17:29:07.285,0,0,0
2021-02-01T17:29:07.288,0,0,0
2021-02-01T17:29:07.292,0,0,0
2021-02-01T17:29:07.297,0,0,0
2021-02-01T17:29:07.303,0,0,0
2021-02-01T17:29:07.305,0,0,0
2021-02-01T17:29:07.310,0,0,0
2021-02-01T17:29:07.314,0,0,0
2021-02-01T17:29:07.321,0,0,0
2021-02-01T17:29:07.328,0,0,0
2021-02-01T17:29:07.332,0,0,0
2021-02-01T17:29:07.334,0,0,0
2021-02-01T17:29:07.337,0,0,0
2021-02-01T17:29:07.340,0,0,0
2021-02-01T17:29:07.345,0,0,0
2021-02-01T17:29:07.352,0,0,0
2021-02-01T17:29:07.355,0,0,0
2021-02-01T17:29:07.359,0,0,0
2021-02-01T17:29:07.364,0,0,0
2021-02-01T17:29:07.370,0,0,0
2021-02-01T17:29:07.376,0,0,0
2021-02-01T17:29:07.378,0,0,0
2021-02-01T17:29:07.382,0,0,0
2021-02-01T17:29:07.393,0,0,0
2021-02-01T17:29:07.395,0,0,0
2021-02-01T17:29:07.402,0,0,0
2021-02-01T17:29:07.404,0,0,0
2021-02-01T17:29:07.407,0,0,0
2021-02-01T17:29:07.411,0,0,0
2021-02-01T17:29:07.415,0,0,0
2021-02-01T17:29:07.421,0,0,0
2021-02-01T17:29:07.426,0,0,0
2021-02-01T17:29:07.430,0,0,0
2021-02-01T17:29:07.435,0,0,0
2021-02-01T17:29:07.441,0,0,0
