time,mouse_key
2021-02-01T17:25:13.609,"{}"
2021-02-01T17:25:13.613,"{}"
2021-02-01T17:25:13.622,"{}"
2021-02-01T17:25:13.625,"{}"
2021-02-01T17:25:13.628,"{}"
2021-02-01T17:25:13.632,"{}"
2021-02-01T17:25:13.636,"{}"
2021-02-01T17:25:13.643,"{}"
2021-02-01T17:25:13.646,"{}"
2021-02-01T17:25:13.651,"{}"
2021-02-01T17:25:13.654,"{}"
2021-02-01T17:25:13.658,"{}"
2021-02-01T17:25:13.662,"{}"
2021-02-01T17:25:13.667,"{}"
2021-02-01T17:25:13.672,"{}"
2021-02-01T17:25:13.675,"{}"
2021-02-01T17:25:13.679,"{}"
2021-02-01T17:25:13.683,"{}"
2021-02-01T17:25:13.687,"{}"
2021-02-01T17:25:13.693,"{}"
2021-02-01T17:25:13.695,"{}"
2021-02-01T17:25:13.699,"{}"
2021-02-01T17:25:13.703,"{}"
2021-02-01T17:25:13.707,"{}"
2021-02-01T17:25:13.711,"{}"
2021-02-01T17:25:13.715,"{}"
2021-02-01T17:25:13.719,"{}"
2021-02-01T17:25:13.723,"{}"
2021-02-01T17:25:13.727,"{}"
2021-02-01T17:25:13.731,"{}"
2021-02-01T17:25:13.735,"{}"
2021-02-01T17:25:13.740,"{}"
2021-02-01T17:25:13.743,"{}"
2021-02-01T17:25:13.747,"{}"
2021-02-01T17:25:13.751,"{}"
2021-02-01T17:25:13.755,"{}"
2021-02-01T17:25:13.761,"{}"
2021-02-01T17:25:13.765,"{}"
2021-02-01T17:25:13.769,"{}"
2021-02-01T17:25:13.773,"{}"
2021-02-01T17:25:13.777,"{}"
2021-02-01T17:25:13.781,"{}"
2021-02-01T17:25:13.786,"{}"
2021-02-01T17:25:13.790,"{}"
2021-02-01T17:25:13.793,"{}"
2021-02-01T17:25:13.796,"{}"
2021-02-01T17:25:13.800,"{}"
2021-02-01T17:25:13.804,"{}"
2021-02-01T17:25:13.812,"{}"
2021-02-01T17:25:13.816,"{}"
2021-02-01T17:25:13.820,"{}"
2021-02-01T17:25:13.824,"{}"
2021-02-01T17:25:13.828,"{}"
2021-02-01T17:25:13.832,"{}"
2021-02-01T17:25:13.836,"{}"
2021-02-01T17:25:13.840,"{}"
